"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"922",578428,"Iglesias, José","922","100.0","0.256","0.105","0.292","0.361","0.282","0.292","0.267","61","238","85.8","9.2","2245","88.6","88.16","102","505","417","-0.4","6.32","108","152","114","148","301","318","288"
"918",571657,"Farmer, Kyle","918","100.0","0.214","0.100","0.240","0.314","0.269","0.299","0.242","45","210","87.1","15.0","2286","88.3","88.33","81","435","483","0.0","6.33","106","151","119","145","299","322","291"
"914",666915,"Dalbec, Bobby","914","100.0","0.206","0.201","0.293","0.407","0.286","0.315","0.220","43","209","91.4","17.3","2250","88.4","87.96","179","446","468","-0.4","6.28","107","152","120","146","298","325","298"
"914",408234,"Cabrera, Miguel","914","100.0","0.225","0.096","0.290","0.321","0.272","0.295","0.221","47","209","90.2","9.7","2245","89.0","88.90","127","450","464","-0.1","6.29","109","158","123","148","304","328","295"
"913",571980,"Naquin, Tyler","913","100.0","0.255","0.218","0.291","0.472","0.340","0.347","0.260","55","216","90.5","10.7","2248","89.4","89.28","131","501","412","-0.1","6.34","113","153","123","148","292","325","301"
"911",518626,"Donaldson, Josh","911","100.0","0.247","0.207","0.260","0.455","0.343","0.385","0.279","49","198","93.3","13.3","2288","88.9","87.70","111","433","478","-1.2","6.24","107","153","123","146","303","324","295"
"910",624413,"Alonso, Pete","910","100.0","0.252","0.193","0.282","0.445","0.338","0.361","0.259","55","218","92.7","16.0","2235","89.2","89.04","108","441","469","-0.2","6.40","106","151","122","146","306","329","302"
"909",547180,"Harper, Bryce","909","100.0","0.272","0.221","0.339","0.492","0.377","0.411","0.285","53","195","89.3","14.0","2237","89.6","89.40","151","446","463","-0.2","6.29","117","160","126","149","298","330","302"
"908",650489,"Castro, Willi","908","100.0","0.222","0.136","0.272","0.357","0.282","0.286","0.233","49","221","84.9","10.3","2205","88.8","88.72","153","504","404","-0.1","6.27","111","150","111","149","292","323","297"
"907",596142,"Sánchez, Gary","907","100.0","0.238","0.254","0.271","0.492","0.357","0.365","0.251","45","189","91.4","20.3","2265","89.5","89.68","136","407","500","0.2","6.47","105","154","123","148","305","331","295"
"903",592348,"Goodrum, Niko","903","100.0","0.216","0.113","0.333","0.330","0.280","0.292","0.200","42","194","88.3","16.1","2210","88.5","88.01","181","443","460","-0.5","6.26","111","153","115","149","294","324","298"
"902",596129,"Vogelbach, Daniel","902","100.0","0.216","0.170","0.246","0.386","0.313","0.321","0.237","37","171","90.6","12.8","2302","89.1","84.12","59","308","594","-5.0","6.20","118","166","137","151","295","323","304"
"900",572816,"Dickerson, Corey","900","100.0","0.260","0.118","0.323","0.377","0.308","0.307","0.252","53","204","86.5","8.1","2240","90.1","89.96","117","477","423","-0.1","6.34","114","150","116","151","293","321","301"
"899",542932,"Berti, Jon","899","100.0","0.224","0.126","0.266","0.350","0.302","0.326","0.254","41","183","88.0","2.1","2287","89.3","89.18","80","375","524","-0.1","6.39","106","151","111","147","304","316","285"
"895",643217,"Benintendi, Andrew","895","100.0","0.283","0.146","0.321","0.429","0.335","0.334","0.262","62","219","88.2","13.5","2235","89.2","88.89","101","462","432","-0.3","6.22","111","153","111","150","294","324","306"
"894",669221,"Murphy, Sean","894","100.0","0.218","0.213","0.257","0.431","0.330","0.355","0.236","46","211","89.8","15.1","2298","87.8","87.00","123","416","478","-0.8","6.34","106","153","121","147","304","325","292"
"890",455117,"Maldonado, Martín","890","100.0","0.171","0.114","0.233","0.285","0.245","0.257","0.191","33","193","88.2","17.1","2248","88.4","88.34","115","392","497","-0.1","6.35","107","152","119","146","295","324","286"
"886",474832,"Belt, Brandon","886","100.0","0.253","0.259","0.337","0.512","0.376","0.341","0.215","43","170","87.8","20.0","2273","89.8","88.67","127","411","475","-1.1","6.31","117","166","123","149","298","326","305"
"886",670032,"Lopez, Nicky","886","100.0","0.257","0.064","0.300","0.321","0.303","0.288","0.231","48","187","83.9","-0.7","2260","89.9","89.58","53","375","511","-0.3","6.28","109","146","101","148","285","315","301"
"883",605113,"Ahmed, Nick","883","100.0","0.216","0.089","0.292","0.305","0.259","0.231","0.190","46","213","86.2","12.5","2290","89.5","87.20","127","423","460","-2.3","6.40","105","152","115","147","304","321","292"
"880",592663,"Realmuto, J.T.","880","100.0","0.277","0.181","0.341","0.457","0.362","0.376","0.281","52","188","89.7","10.0","2273","89.0","88.60","109","396","484","-0.4","6.30","107","152","119","147","305","327","294"
"876",665862,"Chisholm Jr., Jazz","876","100.0","0.256","0.187","0.344","0.443","0.330","0.303","0.228","52","203","89.1","7.8","2264","88.7","88.55","120","403","473","-0.2","6.34","114","149","109","150","292","319","301"
"872",606192,"Hernández, Teoscar","872","100.0","0.298","0.196","0.368","0.493","0.357","0.377","0.299","67","225","92.2","10.9","2281","88.6","88.58","144","465","407","0.0","6.23","107","152","120","147","302","325","291"
"869",458731,"Gardner, Brett","869","100.0","0.198","0.105","0.259","0.302","0.275","0.268","0.194","32","162","84.9","14.4","2259","89.4","89.23","77","340","529","-0.2","6.34","110","149","108","150","290","322","298"
"867",641531,"Dozier, Hunter","867","100.0","0.158","0.172","0.192","0.330","0.246","0.287","0.206","32","203","90.4","17.8","2291","88.8","88.68","132","411","455","-0.1","6.23","107","152","121","146","307","330","297"
"863",647304,"Naylor, Josh","863","100.0","0.255","0.147","0.291","0.403","0.307","0.317","0.256","59","231","89.7","8.9","2265","88.1","88.05","97","456","407","0.0","6.27","115","160","117","151","292","321","301"
"863",546318,"Herrera, Odúbel","863","100.0","0.247","0.149","0.279","0.397","0.308","0.285","0.234","48","194","87.2","7.6","2240","88.9","88.63","91","424","439","-0.3","6.31","114","152","113","147","287","318","297"
"862",663757,"Grisham, Trent","862","100.0","0.265","0.210","0.328","0.475","0.358","0.317","0.236","48","181","89.0","11.5","2317","90.1","89.63","83","320","542","-0.5","6.27","114","151","110","152","294","323","301"
"854",605137,"Bell, Josh","854","100.0","0.229","0.204","0.265","0.433","0.312","0.335","0.256","46","201","92.8","6.6","2196","89.0","88.96","120","425","429","0.0","6.38","112","159","128","150","303","327","304"
"848",543768,"Shaw, Travis","848","100.0","0.191","0.146","0.230","0.337","0.275","0.313","0.230","34","178","87.0","18.5","2306","89.3","85.19","95","402","446","-4.1","6.24","116","163","122","152","296","325","303"
"848",650333,"Arraez, Luis","848","100.0","0.295","0.091","0.327","0.386","0.330","0.359","0.305","52","176","90.4","8.9","2247","89.8","89.00","40","367","481","-0.8","6.26","115","149","108","150","285","317","299"
"842",645302,"Robles, Victor","842","100.0","0.224","0.082","0.304","0.306","0.294","0.307","0.227","41","183","83.2","16.2","2311","88.8","88.47","93","374","468","-0.3","6.35","100","150","104","145","300","317","291"
"842",503556,"Gonzalez, Marwin","842","100.0","0.195","0.097","0.257","0.292","0.255","0.288","0.227","38","195","87.5","7.3","2220","88.1","87.56","89","389","453","-0.5","6.26","112","152","116","148","287","321","301"
"842",571466,"Barnhart, Tucker","842","100.0","0.267","0.153","0.381","0.420","0.339","0.288","0.213","47","176","87.7","12.3","2265","88.2","88.19","110","391","451","0.0","6.36","115","156","121","148","291","321","299"
"838",683734,"Vaughn, Andrew","838","100.0","0.226","0.169","0.284","0.395","0.303","0.319","0.231","44","195","91.4","8.5","2289","88.3","88.16","114","393","445","-0.1","6.28","104","151","118","145","301","324","290"
"835",592743,"Simmons, Andrelton","835","100.0","0.245","0.071","0.295","0.316","0.285","0.277","0.241","48","196","82.5","1.8","2270","88.2","87.86","71","360","475","-0.3","6.22","106","152","112","146","300","319","285"
"834",500743,"Rojas, Miguel","834","100.0","0.261","0.153","0.293","0.414","0.328","0.302","0.243","53","203","87.2","13.2","2280","88.9","88.72","75","370","464","-0.2","6.38","108","152","115","149","305","318","285"
"823",543685,"Rendon, Anthony","823","100.0","0.232","0.129","0.258","0.361","0.292","0.299","0.237","45","194","90.0","21.9","2223","89.5","89.06","67","401","422","-0.4","6.38","108","152","122","146","305","325","297"
"823",543510,"McCann, James","823","100.0","0.245","0.133","0.331","0.378","0.300","0.294","0.226","48","196","88.6","9.2","2266","89.9","89.88","120","392","431","0.0","6.37","107","152","120","147","303","323","293"
"815",543281,"Harrison, Josh","815","100.0","0.271","0.106","0.311","0.376","0.324","0.341","0.270","59","218","87.0","15.9","2293","88.9","88.44","89","433","381","-0.5","6.39","106","152","113","146","303","319","287"
"814",594809,"Eaton, Adam","814","100.0","0.195","0.149","0.246","0.345","0.288","0.293","0.217","34","174","84.7","5.3","2240","89.3","89.42","91","376","438","0.1","6.33","110","147","100","147","285","319","300"
"813",641432,"Calhoun, Willie","813","100.0","0.254","0.132","0.272","0.385","0.313","0.338","0.283","52","205","90.0","17.0","2226","87.7","87.06","63","367","446","-0.6","6.14","116","163","120","152","299","328","301"
"813",641933,"O'Neill, Tyler","813","100.0","0.268","0.293","0.336","0.561","0.373","0.399","0.282","53","198","93.4","20.3","2353","89.1","88.83","156","423","390","-0.3","6.34","107","152","120","146","309","325","296"
